nx,ny,grid_spacing
2343,2052,0.1
nz,h_corr,v_corr,sigma,seed
20,5.0,1.0,0.1,1831700563
80,5.0,1.0,0.05,1725481497
60,10.0,2.0,0.02,1483850455
90,10.0,2.0,0.01,2028990887
190,10.0,2.0,0.0,2098782700
