nx,ny,grid_spacing
2559,2601,0.1
nz,h_corr,v_corr,sigma,seed
20,5.0,1.0,0.1,2117695048
80,5.0,1.0,0.05,1325745031
60,10.0,2.0,0.02,653960550
90,10.0,2.0,0.01,1827284277
220,10.0,2.0,0.0,938922341
