nx,ny,grid_spacing
2047,2089,0.1
nz,h_corr,v_corr,sigma,seed
20,5.0,1.0,0.1,1250158083
80,5.0,1.0,0.05,1740939870
60,10.0,2.0,0.02,2141472900
90,10.0,2.0,0.01,842858257
200,10.0,2.0,0.0,797816985
