lon,lat,closest_station,station_distance_m,point_id
172.215,-40.8,020071d,5.830944053506134,1
173.925,-40.8,DUWZ,0.3433446286026359,2
171.445,-41.8,0200603,4.909611833403654,3
172.83499999999998,-41.8,0200836,1.4077358814020893,4
174.225,-41.8,0200a00,2.2224602975478227,5
170.85500000000002,-42.8,0200536,3.4662159247130444,6
172.10000000000002,-42.8,02006e2,2.630521856801761,7
173.345,-42.8,02008e9,0.5392214802636949,8
169.10500000000002,-43.8,0200250,3.5332739351028386,9
170.43833333333336,-43.8,02004a1,2.6766873072595962,10
171.77166666666668,-43.8,0200685,1.3488178060822213,11
173.10500000000002,-43.8,0200892,4.637238942355256,12
167.425,-44.8,BCOF,3.565553667787733,13
168.67166666666668,-44.8,02001ec,2.8922391493290975,14
169.91833333333332,-44.8,02003d9,2.4612658464391233,15
171.165,-44.8,02005c1,2.6708556881524474,16
166.665,-45.8,020000b,1.3373049803823487,17
168.02166666666668,-45.8,020011f,1.0516803477286651,18
169.37833333333333,-45.8,12004ad,1.6676827468886795,19
170.735,-45.8,32001dd,3.3611924045930497,20
167.3,-46.2,020006c,3.195138383840148,21
168.3,-46.5,1200206,2.4238193764645457,22
169.7,-46.5,1200562,1.7297051776773478,23
